,Date,NIKKEI 225
730,1982-10-14,7414.799805
731,1982-10-15,7373.509765999999
732,1982-10-18,7370.200195
733,1982-10-19,7371.649901999999
734,1982-10-20,7378.040039
735,1982-10-21,7319.959961
736,1982-10-22,7324.040039
737,1982-10-25,7304.919922
738,1982-10-26,7199.609863
739,1982-10-27,7269.959961
740,1982-10-28,7291.470215
741,1982-10-29,7259.149901999999
742,1982-11-01,7334.640137
743,1982-11-02,7395.620117
745,1982-11-04,7515.899901999999
746,1982-11-05,7528.959961
747,1982-11-08,7551.660156
748,1982-11-09,7576.399901999999
749,1982-11-10,7688.180176000001
750,1982-11-11,7708.319823999999
751,1982-11-12,7689.410156
752,1982-11-15,7762.22998
753,1982-11-16,7698.299805
754,1982-11-17,7740.100098000001
755,1982-11-18,7785.430176000001
756,1982-11-19,7854.919922
757,1982-11-22,7901.560059
759,1982-11-24,7846.77002
760,1982-11-25,7837.259765999999
761,1982-11-26,7890.379883
762,1982-11-29,7936.189941
763,1982-11-30,7895.620117
764,1982-12-01,7966.77002
765,1982-12-02,8001.069823999999
766,1982-12-03,7991.649901999999
767,1982-12-06,8020.529785
768,1982-12-07,8026.990234000001
769,1982-12-08,8004.109863
770,1982-12-09,7945.25
771,1982-12-10,7870.850098000001
772,1982-12-13,7885.569823999999
773,1982-12-14,7913.620117
774,1982-12-15,7882.950195
775,1982-12-16,7828.919922
776,1982-12-17,7865.879883
777,1982-12-20,7858.040039
778,1982-12-21,7810.149901999999
779,1982-12-22,7772.319823999999
780,1982-12-23,7830.879883
781,1982-12-24,7904.97998
782,1982-12-27,8015.069823999999
783,1982-12-28,8016.669922
788,1983-01-04,8021.399901999999
789,1983-01-05,8066.149901999999
790,1983-01-06,8120.509765999999
791,1983-01-07,8169.290039
792,1983-01-10,8172.660156
793,1983-01-11,8079.629883
794,1983-01-12,8039.850098000001
795,1983-01-13,8099.060059
796,1983-01-14,8088.529785
797,1983-01-17,8082.72998
798,1983-01-18,8028.279785
799,1983-01-19,7968.680176000001
800,1983-01-20,7923.310059
801,1983-01-21,7989.410156
802,1983-01-24,7833.990234000001
803,1983-01-25,7803.180176000001
804,1983-01-26,7962.509765999999
805,1983-01-27,7942.319823999999
806,1983-01-28,8014.609863
807,1983-01-31,8103.470215
808,1983-02-01,8105.52002
809,1983-02-02,8108.049805
810,1983-02-03,7991.290039
811,1983-02-04,8012.640137
812,1983-02-07,8010.910156
813,1983-02-08,8027.200195
814,1983-02-09,7995.930176000001
815,1983-02-10,8017.560059
817,1983-02-14,8132.02002
818,1983-02-15,8135.419922
819,1983-02-16,8145.410156
820,1983-02-17,8106.27002
821,1983-02-18,8048.310059
822,1983-02-21,7987.27002
823,1983-02-22,7918.160156
824,1983-02-23,7931.649901999999
825,1983-02-24,7984.25
826,1983-02-25,8056.040039
827,1983-02-28,8085.569823999999
828,1983-03-01,7988.850098000001
829,1983-03-02,8013.299805
830,1983-03-03,8005.02002
831,1983-03-04,8014.700195
832,1983-03-07,8041.160156
833,1983-03-08,8026.990234000001
834,1983-03-09,8008.25
835,1983-03-10,8027.640137
836,1983-03-11,8081.439941
837,1983-03-14,8089.029785
838,1983-03-15,8111.830078
839,1983-03-16,8170.129883
840,1983-03-17,8195.139648
841,1983-03-18,8234.900391
843,1983-03-22,8281.589844
844,1983-03-23,8311.120117
845,1983-03-24,8340.080078
846,1983-03-25,8302.769531
847,1983-03-28,8387.910156
848,1983-03-29,8424.129883
849,1983-03-30,8446.610352
850,1983-03-31,8478.700195
851,1983-04-01,8469.0
852,1983-04-04,8485.820313
853,1983-04-05,8420.339844
854,1983-04-06,8479.400391
855,1983-04-07,8442.450195
856,1983-04-08,8435.370117
857,1983-04-11,8475.19043
858,1983-04-12,8468.629883
859,1983-04-13,8480.44043
860,1983-04-14,8554.209961
861,1983-04-15,8552.160156
862,1983-04-18,8582.530273
863,1983-04-19,8541.860352
864,1983-04-20,8564.480469
865,1983-04-21,8543.05957
866,1983-04-22,8563.120117
867,1983-04-25,8596.089844
868,1983-04-26,8607.469727
869,1983-04-27,8634.790039
870,1983-04-28,8636.55957
872,1983-05-02,8704.389648
874,1983-05-04,8663.040039
876,1983-05-06,8670.639648
877,1983-05-09,8719.879883
878,1983-05-10,8667.990234
879,1983-05-11,8691.580078
880,1983-05-12,8653.900391
